,tconst,primary_title,runtime_minutes,genres,release_date,production_budget,domestic_gross,worldwide_gross,total_profit
360,tt5437970,Mama,90.0,Drama,"Jan 18, 2013",15000000,71628180,148095566,133095566
362,tt1800741,Step Up Revolution,99.0,"Drama,Music,Romance","Jul 27, 2012",33000000,35074677,165552290,132552290
363,tt10340148,Midnight in Paris,75.0,"Comedy,Documentary,Drama","May 20, 2011",30000000,56816662,162502774,132502774
364,tt2713180,Fury,134.0,"Action,Drama,War","Oct 17, 2014",80000000,85817906,210315681,130315681
365,tt1637688,In Time,109.0,"Action,Crime,Drama","Oct 28, 2011",35000000,37553932,165103952,130103952
367,tt6294822,The Post,116.0,"Biography,Drama,History","Dec 22, 2017",50000000,81903458,179748880,129748880
368,tt1649419,The Impossible,114.0,"Drama,History,Thriller","Dec 21, 2012",40000000,19019882,169590606,129590606
369,tt1907668,Flight,138.0,"Drama,Thriller","Nov 2, 2012",31000000,93772375,160558438,129558438
372,tt2119532,Hacksaw Ridge,139.0,"Biography,Drama,History","Nov 4, 2016",40000000,67209615,168904682,128904682
375,tt1528100,Exodus: Gods and Kings,150.0,"Action,Adventure,Drama","Dec 12, 2014",140000000,65014513,268314513,128314513
378,tt4400038,Chocolat,119.0,"Biography,Drama","Dec 15, 2000",25000000,71309760,152500343,127500343
384,tt1412386,The Best Exotic Marigold Hotel,124.0,"Comedy,Drama,Romance","May 4, 2012",10000000,46383639,134639780,124639780
390,tt3682448,Bridge of Spies,142.0,"Drama,History,Thriller","Oct 16, 2015",40000000,72313754,162498338,122498338
393,tt1815862,After Earth,100.0,"Action,Adventure,Drama","May 31, 2013",130000000,60522097,251499665,121499665
394,tt0804509,The Mule,100.0,"Comedy,Drama","Dec 14, 2018",50000000,103804407,170857676,120857676
395,tt4555426,Darkest Hour,125.0,"Biography,Drama,History","Nov 22, 2017",30000000,56443120,150807172,120807172
397,tt1677036,The Holiday,97.0,Drama,"Dec 8, 2006",85000000,63280000,205190324,120190324
