,primary_title,runtime_minutes,genres_x,release_date,production_budget,domestic_gross,worldwide_gross,total_profit,content_rating,directors,actors
324,Entourage,104.0,Comedy,"Jun 3, 2015",30000000,32363404,46438538,16438538,R,Doug Ellin,"Jeremy Piven, Adrian Grenier, Kevin Dillon, Jerry Ferrara, Kevin Connolly, Debi Mazar, Billy Bob Thornton, Emmanuelle Chriqui, Alice Eve, Perrey Reeves, Rex Lee, Rhys Coiro, Constance Zimmer, Haley Joel Osment, Ronda Rousey, Scott ""Kid Cudi"" Mescudi, Alan Dale, Emily Ratajkowski, Nina Agdal, Lucas Ellin, Piers Morgan, Mark Cuban, Sabina Gadecki, Rocky, Thierry Henry, Jennie Kwan, T.I., Tameka Harris, Saigon, Rob Gronkowski, David Arquette, Russell Wilson, Gary Busey, Baron Davis, Bob Saget, Kayla Collins, Bekah Graf, Jim Gray, Clay Matthews, Jon Favreau, Shervin Pishevar, Greg Louganis, Andrew Dice Clay, Christine Donlon, Raquel Alessi, Billy Dec, Mike Tyson, Pharrell Williams, Scott Vener, Liam Neeson, Ed O'Neill, Sonny Marinelli, Kelsey Grammer, Lindsay McGrail, Chad Lowe, Nora Dunn, Mark Wahlberg, Henry Penzi, Bill Grund, David Spade, Warren Buffet, Jessica Alba, Domenico Vacca, Common, Armie Hammer, Meagen Fay, Anna Jaller, Shayna Baszler, Jessamyn Duke, Marina Shafir, David Faustino, Richard Schiff, Tom Brady, Martin Landau, Shay Laren, Brittany Wagner, Michael S. Meldman, Steve Tisch, Dru Mouser, Tim Maculan, Debbie Jaffe, Matt Lauer, Maria Menounos, Terrence Jenkins, Alyssa Miller, George Takei, Michael Hirtenstein, Chad Hurley, Maya Ellin, Jenna Goldman, Kate Goldman, Alan Purwin"
325,The Big Wedding,89.0,"Comedy,Drama,Romance","Apr 26, 2013",32500000,21819348,48425971,15925971,R,Justin Zackham,"Robert De Niro, Katherine Heigl, Diane Keaton, Susan Sarandon, Amanda Seyfried, Ben Barnes, Topher Grace, Christine Ebersole, David Rasche, Patricia Rae, Ana Ayora, Robin Williams, Kyle Bornheimer, Megan Ketch, Christa Campbell, Ian Blackman, Shana Dowdeswell, Doug Torres, Marvina Vinique, Joshua Nelson, Quincy Dunn-Baker, Sylvia Kauders, Edmund Lyndeck"
326,The Bachelor,,"Comedy,Romance","Nov 5, 1999",21000000,21731001,36882378,15882378,PG-13,Gary Sinyor,"Chris O'Donnell, Renée Zellweger, Hal Holbrook, James Cromwell, Edward Asner, Brooke Shields, Artie Lange, Peter Ustinov, Mariah Carey, Jennifer Esposito, Marley Shelton, Sarah Silverman, Stacy Edwards, Rebecca Cross, Katharine Towne, Lydell M. Cheshier, Robert Kotecki, Pat Finn, Timothy Paul Perez, Romy Rosemont, Kelly Jean Peters, Jane L. Powell, Jim Jackman, Christopher Carroll, Kevin Jones, Michael Deeg, Erik Kever Ryle, Brian Leonard, Mary J. White, Edith Fields, Joe Meek, Michael Lee Merrins, Lisa Nalen, Brantley Bush, Nicholas Pryor, Maree Cheatham, Mark Norby, Ken Baldwin, Gustavo Vargas, Natalie Bartlett, Cheri Rae Russell, Jodi Taylor, Jenni Pulos, Rebecca Gray, Kiva Dawson, Anastasia Horne, Niecy Nash, T.L. Brooke, Marnie Alexenberg, Lea Moon, Robin Lyon, Elizabeth Guber, Nancy O'Dell, Marnie Schneider, Louis Ganapoler"
327,Fist Fight,91.0,Comedy,"Feb 17, 2017",25000000,32187017,40286416,15286416,R,Richie Keen,"Ice Cube, Charlie Day, Tracy Morgan, Jillian Bell, Dean Norris, Christina Hendricks, Dennis Haysbert, JoAnna Garcia Swisher, Kumail Nanjiani, Charlie Carver, Max Carver, Austin Zajur, Alexa Nisenson, Conphidance"
328,Logan Lucky,118.0,"Comedy,Crime,Drama","Aug 18, 2017",29000000,27778642,44264271,15264271,PG-13,Steven Soderbergh,"Channing Tatum, Adam Driver, Riley Keough, Seth MacFarlane, Katie Holmes, Katherine Waterston, Sebastian Stan, Hilary Swank, Daniel Craig, Dwight Yoakam, Jack Quaid"
329,The Odd Life of Timothy Green,105.0,"Comedy,Drama,Family","Aug 15, 2012",40000000,51853450,55249159,15249159,PG,Peter Hedges,"Jennifer Garner, Joel Edgerton, Dianne Wiest, C.J. Adams, Rosemarie DeWitt, Ron Livingston, M. Emmet Walsh, Odeya Rush, Lin-Manuel Miranda, Lois Smith, David Morse, Common, Shohreh Aghdashloo, James Rebhorn, Michael Arden, Rhoda Griffis, Karan Kendrick, Judy Langford, Cullen Moss, Kendall Ryan Sanders"
330,The Guard,96.0,"Comedy,Crime,Thriller","Jul 29, 2011",6000000,5359774,21197454,15197454,R,John Michael McDonagh,"Brendan Gleeson, Don Cheadle, Rory Keenan, Liam Cunningham, David Wilmot, Mark Strong (II), Fionnula Flanagan, Dominique McElligott, Sarah Greene (II), Katarina Cas, Wale Ojo, Ronan Collins, Conor Moloney, Laura Hitchings, Declan Mannion, Sharon Kearney, Laurence Kirlan, Laurence Kinlan, David Pearse, Michael Og Lane, Owen Sharpe, Eamonn Olwill, Yuyang Shields, Mark O'Halloran, Pat Shortt, Gary Lydon, Gay McKeon, Mary Corcoran, Darren Healy, Giedrius Nagys, Colm Gannon, Dermot Healy, Johnny McDonagh, Dominick Hewitt, Gary Robinson, Paraic Nialand, John Patrick Beirne, Liam O'Conghaile, Christopher Kilmartin"
331,Wonder Park,85.0,"Adventure,Animation,Comedy","Mar 15, 2019",100000000,45216793,115149422,15149422,PG,,"Jennifer Garner, Matthew Broderick, John Oliver, Mila Kunis, Kenan Thompson, Ken Jeong, Norbert Leo Butz, Brianna Denski"
332,Sorry to Bother You,111.0,"Comedy,Fantasy,Sci-Fi","Jul 6, 2018",3200000,17493096,18285560,15085560,R,Boots Riley,"LaKeith Stanfield, Tessa Thompson, Armie Hammer, Terry Crews, Steven Yeun, Omari Hardwick, Jermaine Fowler, Danny Glover, Patton Oswalt"
333,Middle School: The Worst Years of My Life,92.0,"Comedy,Family","Oct 7, 2016",8500000,20007149,23311293,14811293,PG,Steve Carr,"Griffin Gluck, Lauren Graham, Rob Riggle, Thomas Barbusca, Andrew Daly, Adam Pally, Isabella Amara, Efren Ramirez, Retta, Jacob Hopkins, Alexa Nisenson, Luke Christopher Hardeman, Jessi Goei, Gemma Forbes, Jonah Bowling, Madeleine Stack, Angela Oh, Miranda Saliva, Ricardo Riveron, Bethany Hartman, Jake Buffenbarger, Trey Carroll, Alyssa Riley Burrell, Storm Bell, Tabitha Ott, Celine Borroto Alvarez, Montana Jacobowitz, Patrick Fagan, Nora Ordinario, Emma Dison Brantley, Santana Draper, Patti Schellhaas, Jonathan Kankolenski, Isabela Merced, Inder Kumar"
334,Much Ado About Nothing,167.0,"Comedy,Drama","May 7, 1993",8000000,22549338,22549338,14549338,PG-13,Kenneth Branagh,"Kenneth Branagh, Emma Thompson, Denzel Washington, Robert Sean Leonard, Keanu Reeves, Michael Keaton, Kate Beckinsale, Richard Briers, Brian Blessed, Gerard Horan, Richard Clifford, Ben Elton, Patrick Doyle, Jimmy Yuill, Imelda Staunton, Phyllida Law, Teddy Jewesbury, Chris Barnes, Andy Hockley, Conrad Nelson, Edward Jewesbury, Alex Scott, Alex Lowe"
