,primary_title,runtime_minutes,genres_x,release_date,production_budget,domestic_gross,worldwide_gross,total_profit,content_rating,directors,actors
189,2 Guns,109.0,"Action,Comedy,Crime","Aug 2, 2013",61000000,75612460,132493015,71493015,R,Baltasar Kormákur,"Denzel Washington, Mark Wahlberg, Paula Patton, Bill Paxton, Fred Ward, James Marsden, Edward James Olmos, Robert John Burke, Greg Sproles, Patrick Fischler, Derek Solorsano, Edgar Arreola, Kyle Clements, Christopher Matthew Cook, Timothy Bell, Tait Fletcher, Jesus Payan, Jr., Azure Parsons, John McConnell, Jack Landry, Ritchie Montgomery, Ambyr Childers, Robert Larrivere, Lucy Faust, George Wilson, Yohance Myles, Evie Louise Thompson, Samuel Baca-Garcia, Michael Beasley, Christopher Dempsey, Bill Stinchcomb, Mark Adam, David Kency, Gilbert Rosales, Peter Gabb, Jason Kirkpatrick, Tony Sanford, Kevin ""Lucky"" Johnson, Lindsey G Smith, Lindsey Gort, Hillel M. Sharman, Aaron Zell, Henry Penzi"
190,Vacation,99.0,"Adventure,Comedy","Jul 29, 2015",31000000,58884188,102306500,71306500,R,"Jonathan M. Goldstein, John Francis Daley","Ed Helms, Christina Applegate, Leslie Mann, Chevy Chase, Beverly D'Angelo, Skyler Gisondo, Steele Stebbins, Chris Hemsworth, Keegan-Michael Key, Regina Hall, Ron Livingston, Tim Heidecker, Nick Kroll, Kaitlin Olson, Michael Peña, Charlie Day, Catherine Missal, Emyri Crutchfield, Alkoya Brunson, Hannah Davis, David Clennon, Colin Hanks, Kirstin Ford, Ethan Maher, Elizabeth Gillies, Cristina Squyres, Nadine Avola, Ryan Cartwright, Valerie Payton, O'Clair Alexander, Miles Doleac, Holly Gardner, R.F. Daley, Elizabeth Fendrick, Michael H. Cole, Brooke Jaye Taylor, Matthew Cornwell, Mitchell Warren, John Francis Daley, Norman Reedus"
191,The Other Guys,107.0,"Action,Comedy,Crime","Aug 6, 2010",100000000,119219978,170936470,70936470,PG-13,Adam McKay,"Will Ferrell, Mark Wahlberg, Eva Mendes, Michael Keaton, Dwayne Johnson, Samuel L. Jackson, Steve Coogan, Ray Stevenson, Lindsay Sloane, Natalie Zea, Rob Riggle, Damon Wayans Jr., Bobby Cannavale, Zoe Lister-Jones, Adam McKay, Viola Harris, Anne Heche, Brooke Shields, Rosie Perez, Derek Jeter, David Gideon, Michael Delaney, Michael G. Delaney, Zach Woods, Andy Buckley (II), Rob Huebel, Brett Gelman, Danielle Cell, Brianne Moncrief, Joshua Church, Oliver Wood, Ben Schwartz, Jake Quinn, Patrick Ferrell, Will Lyman, Larnell Stovall, Jalil Jay Lynch, Roy T. Anderson, Andrew Secunda, Sara Chase, Josh Church, Ice-T, Alison Becker, Warren Kelley, Sean Heilig, Damon Wayans, Matthew J. McCarthy, Adam Phillips, Tess Kartel, Rob Mars, C.C. Taylor, Elizabeth Kaledin, Peter R. Thewes, Robin Ng, Malachy McCourt, Barry Carl, Benjamin Magnuson, Thomas McDonnell III, Jimmy O'Donnell, Kevin Osborne, Pierce Turner, James Archie Worley, Shakiem Evans, James Mazzola, Patrick Crowley, Tara Copeland, Eamon Speer, Patrick Reale, Zak Orth, Pete Antico, Jamie Dugal, Chris Gethard, Michael Fawcett, Pilar Angelique, Leroy Wilson, Jr."
192,Paul Blart: Mall Cop 2,94.0,"Action,Comedy,Crime","Apr 17, 2015",38000000,71091594,107650646,69650646,PG,Andy Fickman,"Kevin James, Raini Rodriguez, Neal McDonough, Shirley Knight, Daniella Alonso, Eduardo Verástegui, David Henrie, Gary Valentine, Ana Gasteyer, Nicholas Turturro, Loni Love, Shelly Desai, Vic Dibitetto, D.B. Woodside, Bas Rutten, Steffiana De La Cruz, Leif Gantvoort, Chelsea Vincent, Geovanni Gopradi, Conrad Goode, Nico Santos, Bob Clendenin, Jackie Benoit, Eric Genuis, Lauren Ash, Jackie Sandler, Steve Wynn, Andrea Wynn, Nikki Tyler-Flynn, Hudson West, Greg Vaccariello, Daniel Guire, Chris Monty, Scott Henry, Ryan Parsons, Max Alexander, Mike Burton, George Klein, Richie Minervini, Paula Trickey, Nichelle Hines, John Joseph, Sean Christie, Javier DelPrado, Rob Magnotti, Chris Titone, Leif Manson, Zachary Morris, Joe Childs, Brian Thoe, Daryl Morris, Mark DellaGrotte, Deven May, Jared Sandler, Lorenzo James Henrie, Todd Garner, James K. Shea, Sienna James, LaToya Tonodeo, Ryan Hanna King, Gabriel E. Nunez, Cory DeMeyers, Molly Shannon"
193,Kick-Ass,117.0,"Action,Comedy","Apr 16, 2010",28000000,48071303,97531134,69531134,R,Matthew Vaughn,"Aaron Taylor-Johnson, Nicolas Cage, Christopher Mintz-Plasse, Mark Strong (II), Chloë Grace Moretz, Omari Hardwick, Xander Berkeley, Michael Rispoli, Clark Duke, Lyndsy Fonseca, Evan Peters, Dexter Fletcher, Corey Johnson, Jason Flemyng, Kenneth Simmons, Randall Batinkoff, Garrett M. Brown, Elizabeth McGovern, Deborah Twiss, Sophie Wu, Anthony Desio, Adrian Martinez, Joe Bacino, Stu ""Large"" Riley, Walle Jobara, Carlos Besse Peres, Tamer Hassan, Yancy Butler, Tim Plester, Hubert Boorder, Craig Ferguson, Omar Soriano, Kofi Natei, Johnny Hopkins, Ohene Cornelius, Russell Bentley, Chris T.J. McGuire, Max White, Dean Copkov, Jacob Cartwright, Maurice DuBois, Dana Tyler, Dan Duran, Louis Young, Katrena Rochell, Quinn Smith"
194,We Bought a Zoo,124.0,"Comedy,Drama,Family","Dec 23, 2011",50000000,75624550,118729073,68729073,PG,Cameron Crowe,"Matt Damon, Scarlett Johansson, Thomas Haden Church, Colin Ford, Maggie Elizabeth Jones, Angus Macfadyen, Elle Fanning, Patrick Fugit, John Michael Higgins, Carla Gallo, JB Smoove, Stephanie Szostak, Michael Panes, Kym E. Whitley, Todd Stanton, Lauren Sanchez, Peter Riegert, Roberto Montesinos, Desi Lydic, Erick Chavarria, Samantha Fox, Dustin Ybarra, Ben Seeder, Alice Marie Crowe, Michelle Panek, Gary D. Robertson, Nicole Russell, Reid Peters, Taylor Victoria Cerza, Steve Bessette, Hal Alpert, Leslie Trotter, Steven Lee, Katherine Yerves, Caroline Hanna, David López, Benjamin Mee, Ella Mee, Milo Mee, Sammi Yorn, William Crowe, Curtis Crowe, Johnny Cicco, Alexia Barroso, Thomas R. Baker, David Dustin Kenyon, Shannah Barrett, Christie Kittelsen, Michelle Pickens, Gabriel Escalante, Bart And Tank, Crystal, Rabbi Elliott T. Spar, Ninja"
195,Lady Bird,94.0,"Comedy,Drama","Nov 3, 2017",10000000,48958273,78610769,68610769,R,Greta Gerwig,"Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges, Timothée Chalamet, Beanie Feldstein, Lois Smith, Stephen McKinley Henderson, Odeya Rush, Jordan Rodrigues, Marielle Scott, Monique Edwards"
196,Easy A,92.0,"Comedy,Drama,Romance","Sep 17, 2010",8000000,58401464,76200721,68200721,PG-13,Will Gluck,"Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd, Thomas Haden Church, Patricia Clarkson, Cam Gigandet, Lisa Kudrow, Malcolm McDowell, Alyson Michalka, Stanley Tucci, Jake Sandvig, Fred Armisen, Juliette Goglia, Morgan Rusler, Nikki Tyler-Flynn, Braeden Lemasters, Mahaley Hessam, Jameson Moss, Blake Hood, Dan Bryd, Bryce Clyde Jenkins, Neil Soni, Nicki Ttyler Flynn, Stacey Travis, Bonnie Burroughs, Eddie Applegate, Norma Michaels, Yolanda Snowball, Andrew Fleming, Johanna Braddy, David Gore, Lalaine, D'Anthony Palms, Ryan J. Parker, Rawson Marshall Thurber, Chris De Lorenzo, Jillian Johnston, Nancy Karr, Clay Black, Brad Etheridge, Veerta Motiani, Michael Strauss, Lance Kerfuffle, Drew Koles, Max Crumm, Jeremiah Hu, Jessica Jann, Danni Katz, Jason Kropik"
197,Life as We Know It,114.0,"Comedy,Drama,Romance","Oct 8, 2010",38000000,53374681,105887837,67887837,PG-13,"Gary Berlanti, Greg Berlanti","Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett, Brynn Clagett, Brooke Clagett, Hayes MacArthur, Christina Hendricks, Sarah Burns, Jessica St. Clair, Brooke Liddell, Kiley Liddell, Britt Flatmo, Rob Huebel, Melissa McCarthy, DeRay Davis, Kumail Nanjiani, Andrew Daly, Bill Brochtrup, Will Sasso, Majandra Delfino, Jason MacDonald, Tara Ochs, Wilbur Fitzgerald, Melissa Ponzio, Reggie Lee, Markus Flanagan, Brooke Josephson, Chanta Rivers, Eric Phillips, Andy Buckley (II), L. Warren Young, Johanna Jowett, Jody Thompson, Horace Toney, Millie Fairchild, Rob Nagle, Katie Kneeland, Kate Kneeland, Patricia French, Ron Clinton Smith, Antwan Mills, Steve Nash, Shayne Kohout, Danielle L. Grant, Eddie Frierson, Jean Smart"
198,Get Hard,90.0,Comedy,"Mar 27, 2015",40000000,90411453,106511453,66511453,R,Etan Cohen,"Will Ferrell, Kevin Hart, T.I., Alison Brie, Craig T. Nelson, Jay Pharoah, James Moses Black"
199,Horrible Bosses 2,108.0,"Comedy,Crime","Nov 26, 2014",40000000,54445357,105945357,65945357,R,Sean Anders,"Jason Bateman, Jason Sudeikis, Charlie Day, Jennifer Aniston, Chris Pine, Christoph Waltz, Kevin Spacey, Jamie Foxx, Jonathan Banks, Lindsay Sloane, Keegan-Michael Key, Kelly Stables, Jerry Lambert, Sam Richardson, Brianne Howey, Lidia Porto, J. Razor, Lennon Parham, Jill Basey, Alyssa Preston, Jennifer Bock, Bruno Amato, Suzy Nakamura, Michelle L. Gardner, Andy Buckley (II), James Michael Connor, Rob Huebel, Allen Zwolle, Charles Iacuzzo, Brendan Hunt, Rebecca Field, Camilla Lim, Chase Kim, Robert T. Parker, Gregory Nicholas Vrotsos, Korrina Rico, Sabrina Sky, Keeley Hazell, David Weiss, Raymond Ma, Ping Wu, Romina, Eric Kissack"
200,Tower Heist,104.0,"Action,Comedy,Crime","Nov 4, 2011",85000000,78046570,150422946,65422946,PG-13,Brett Ratner,"Ben Stiller, Eddie Murphy, Casey Affleck, Alan Alda, Matthew Broderick, Stephen McKinley Henderson, Judd Hirsch, Michael Peña, Gabourey Sidibe, Nina Arianda, Marcia Jean Kurtz, Juan Carlos Hernández, Harry O'Reilly, Peter Van Wagner, Téa Leoni, Zeljko Ivanek, Lynne Rossetto Kasper, Annika Pergament, Clem Cheung, Robert Downey Sr., Max Russell Pratts, Nathan Malnik, Spencer Malnik, Jardo Malnik, Julie Vilanova, Cynthia Patsos, Kate Upton, Marilyn Kim, Judianny Compres, Omar Nicodemo, Dylan Ratigan, Allie Woods Jr., Johnny Tran, Monika Plocienniczak, James Colby, Edward Noone, Frank Pesce, Annie Park, Christina Calph, Kevin Pariseau, Desmin Borges, Jessica Szohr, Brian Distance, Village, Les Papp II, Michael Stratton, Christopher Arocho Rivaro, Craig ""Radioman"" Castaldo, Dwight 'Heavy D' Myers, Veronika Korvin, Robert Clohessy, Jan Owen, Lucky Park, Robert Christian, Mark Philip Patrick, Paul R. Hickert, Kelvin Davis, Chris Breslin, Ty Jones, Ted Lochwyn, Madison Knopp, Troy Hall, Julie T. Pham, Bojun Wang, Juanita Howard, Bob Roseman"
201,Arthur Christmas,97.0,"Adventure,Animation,Comedy","Nov 23, 2011",85000000,46462469,149717124,64717124,PG,"Sarah Smith, Barry Cook","James McAvoy, Hugh Laurie, Bill Nighy, Jim Broadbent, Imelda Staunton, Ashley Jensen, Marc Wootton, Laura Linney, Eva Longoria, Ramona Marquez, Michael Palin, Sanjeev Bhaskar, Robbie Coltrane, Joan Cusack, Rhys Darby, Jane Horrocks, Iain McKee, Andy Serkis, Dominic West, Peter Baynham, Cody Cameron, Kevin Cecil, Kevin Eldon, Rich Fulcher, Bronagh Gallagher, Pete Jack, Danny John-Jules, Emma Kennedy, Seamus Malone, Kris Pearn, Alan Short, Sarah Smith, Adam Tandy, Miggie Donahoe, Finlay Duff, Rich Hall, Clint Dyer, Donnie Long, Jerry Lambert, Deborah Findlay, David Schneider, Ian Ashpitel, Julia Davis, Kerry Shale, Tamsin Greig, Alistair McGowan"
202,Diary of a Wimpy Kid,94.0,"Comedy,Drama,Family","Mar 19, 2010",15000000,64003625,76954311,61954311,PG,Thor Freudenthal,"Zachary Gordon, Robert Capron, Rachael Harris, Steve Zahn, Connor Fielding, Owen Fielding, Devon Bostick, Chloë Grace Moretz, Karan Brar, Grayson Russell, Laine MacNeil, Alex Ferris, Andrew McNee, Belita Moreno, Rob LaBelle, Nicholas Carey, Samuel Patrick Chu, Donnie MacNeil, Samantha Page, Ava Hughes, Owen Best, Cainan Wiebe, Cole Heppell, Harrison Houde, Severin Korfer, Jennifer Clement, Karin Konoval, Raugi Yu, Kaye Capron, Jake D. Smith, Talon Dunbar, Naomi Dane, Willem Jacobson, Sean Bygrave, Maxine Miller, Taya Clyne, Nathaniel Marten, Peter New, Nikki Frazer, Greta Gibson, Nathan Smith, Kina Mori McWatt, Dylan Bell, Madison Bell, Adom Osei, Alf Humphreys, Brent Chapman, Rylee Styles, Rylee Stiles, Ryan Grantham, Ethan Shankaruk, Jesse Wheeler, Paul Hubbard, Brett Dier, Brandon Barton, Cindy Busby, Alicia Takase Lui, Tee Jay Sidhu, Tori Christianson, Emerald Schreier, Benjamin D. Mitchell, Haris Cash, Mariah Crudo, Aidan Gebert, Cameron Krpan, Paolo Tolfo, Alistair Abell, Tara McGuire"
203,Vampires Suck,82.0,Comedy,"Aug 18, 2010",20000000,36661504,81424988,61424988,PG-13,"Jason Friedberg, Aaron Seltzer","Matt Lanter, Chris Riggi, Ken Jeong, Jenn Proske, Diedrich Bader, Michael Mayhall, Bradley Dodds, B.J. Britt, Anneliese van der Pol, Crista Flanagan, Mike Mayhall, Rett Terrell, Stephanie Fischer, Zane Holtz, Jeff Witzke, Michael Hanson, Kelsey Ford, Jun Hee Lee, Krystal Mayo"
204,Paul,104.0,"Adventure,Comedy,Sci-Fi","Mar 18, 2011",40000000,37412945,101162106,61162106,R,Greg Mottola,"Simon Pegg, Nick Frost, Jason Bateman, Kristen Wiig, Bill Hader, Blythe Danner, Joe Lo Truglio, John Carroll Lynch, Jane Lynch, David Koechner, Jesse Plemons, Michael Powell, Sigourney Weaver, Steven Spielberg, Jeffrey Tambor, Jennifer Granger, Nelson Ascencio, Brett Michael Jones, Mia Stallard, Mark Sivertsen, David House, Syd Masters, Michael Miller, Gary Roller, Oliver O'Shea, Lonnie Otha-Mayer, Will Veitch, Mike Miller, Lori Dillen, Joe Berryman, Jeremy Owen, J. Todd Anderson, Diego Deane, Seth Rogen"
205,Rush,87.0,"Comedy,Romance","Sep 20, 2013",38000000,26947624,98230839,60230839,R,Lili Fini Zanuck,"Jason Patric, Jennifer Jason Leigh, Sam Elliott, Max Perlich, Gregg Allman, Tony Frank, Joe Odiorne, Shari Rhodes, William Sadler, Special K. McCray, Dennis Letts, Dennis Burkley, Glenn Wilson, James Pickens Jr., Barbara Lasater, Toni Pilgreen, Jimmy Ray Pickens, Merrill Connally, Connie Cooper, Cynthia Scott, John Ray Harrison, Michael Kirkland, Willie Ellison, Ron Kern, Tom Rosales, Suzanne Savoy, Ken Stadler, Gene Nash, Freddy Joe Odiorne, Niles Caldwell, Brandon Smith (I), Jerry King, Blue Deckert, Dell Gibson, Jim Phillips"
206,Rush,87.0,"Comedy,Romance","Sep 20, 2013",38000000,26947624,98230839,60230839,R,Ron Howard,"Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino, Stephen Mangan, Christian McKay, Julian Rhind-Tutt, Alistair Petrie, David Calder, Daniel Brühl, Colin Stinton, Jamie De Courcey, Augusto Dall'ara, Ilario Calvo, Patrick Baladi, Natalie Dormer, Vincent Riotta, Martin Savage, Jamie Sives, Simon Taylor, Rob Austin, Tom Wlaschiha, Cristian Solimeno, James Norton, Josephine de la Baume, Geoffrey Streatfield, Julien Vialon, Douglas Reith, Polly Furnival, Brooke Johnston, Hannah Britland, Lisa McAllister, Hans-Eckart Eckhardt, Vanessa Zachos, Val Jobara, Xavier Laurent, Zack Niizato, Akira Koieyama, Klaus D. Mund, Folker Banik, Andreas Engelmann, Jochen Kolenda, Roger Nevares, Vanda Dadras, Raffaello Degruttola, Luca Zizzari, Alastair Caldwell, Alan Bayer, Joe Ferrera, Bob Constanduros, Christian Feist, Marco Canadea, Eiji Mihara, Demitri Goritsas, Philippe Spall, Erich Redman, Marcello Walton, Masashi Fujimoto, Rob Cavazos, Paolo Barone, Francesco Fronte, Morris Morrison, Luca Naddeo, Marco Napoli, Cristian Stelluti, Scott Hopkins, Matthew Watkinson, Anthony Wolfe, Jeremy Wolfe, Mark Wright"
207,I Feel Pretty,110.0,"Comedy,Romance","Apr 20, 2018",32000000,48795601,91553797,59553797,PG-13,"Abby Kohn, Marc Silverstein","Amy Schumer, Rory Scovel, Dakota Lustick, Emily Ratajkowski, Jeffrey Grover, Aidy Bryant, Camille Kostek, Busy Philipps, Rachel Feinstein, Tom Hopper, Benz Veal, Naomi Campbell, Chloe Hurst, Lauren Hutton, Sasheer Zamata, Olivia Culpo, Caroline Day, Anastagia Pierre Friel, Gia Crovatin, Kyle Grooms, Paul McCallion, Phil Hanley, Dave Attell, Nikki Glaser, William Kennedy, Sarah Newhouse, Lawrence Watson, Anthony Viveiros, Sarah Fischer, Amanda Schmieder, Kevin Kane, Monib Abhat, Andrea Kostovick, Jacqueline Giraldo"
208,Goosebumps 2: Haunted Halloween,90.0,"Adventure,Comedy,Family","Oct 12, 2018",35000000,46697321,93291478,58291478,PG,Ari Sandel,"Wendi McLendon-Covey, Madison Iseman, Jeremy Ray Taylor, Caleel Harris, Chris Parnell, Ken Jeong, Jack Black, Courtney Lauren Cummings, Shari Headley, Jessi Goei"
209,A Haunted House,86.0,"Comedy,Fantasy","Jan 11, 2013",2500000,40041683,59922558,57422558,R,Michael Tiddes,"Marlon Wayans, Essence Atkins, Cedric the Entertainer, Nick Swardson, David Koechner, Affion Crockett, Andrew Daly, Alanna Ubach, Marlene Forte, Dave Sheridan, JB Smoove, Robin Thede"
210,The Wedding Ringer,101.0,Comedy,"Jan 16, 2015",23000000,64460211,80171596,57171596,R,Jeremy Garelick,"Kevin Hart, Josh Gad, Kaley Cuoco, Affion Crockett, Jorge Garcia, Dan Gill, Corey Holcomb, Ken Howard, Colin Kane, Cloris Leachman, Jenifer Lewis, Alan Ritchson, Mimi Rogers, Aaron Takahashi, Olivia Thirlby, Whitney Cummings, Ignacio Serricchio, Nicky Whelan, Patrick Carlyle, Glozell Green, Tristin Mays, Robert Towers, Neal Israel, Justine Ezarik, Tyler Michael Brown, Peter Gilroy, Josh Peck, Hal Jeffrin, Rawson Marshall Thurber, Amy Okuda, Jeffrey Ross, Joe Namath, John Riggins, Ed Jones, David Burr, Anthony L. Fernandez, Lisa Donovan, Jessica Grace Namath, Olivia Rose Namath, Tracey Graves, Steve Greene, Steve Terada, Ashley Jones, Lindsay Pearce, Jackie Wade, Nikki Leigh"
211,The Best Man Holiday,123.0,"Comedy,Drama","Nov 15, 2013",17000000,70525195,72835710,55835710,R,Malcolm D. Lee,"Morris Chestnut, Taye Diggs, Regina Hall, Terrence Howard, Sanaa Lathan, Nia Long, Harold Perrineau, Monica Calhoun, Melissa DeSousa, Eddie Cibrian, John Michael Higgins, Richie Lawrence, Millie Davis, Linden Liles-McCurdy, Isis Moore, Shai Pierre-Dixon, Allison Augustin, Paulina B. Abarca, Catherine Bruhier, Julianna Barclay, David Schürmann, Mark Robert Ellis, Pam Oliver, Greg Gumbel, Eddie George, Marsha Ambrosious, Anthony Hamilton, Elle Downs, Linda Carter, Michael ""MD"" Dunston, Ryan Lamanna, Chris Williams (XII), Riele West Downs"
212,"Love, Simon",110.0,"Comedy,Drama,Romance","Mar 16, 2018",10000000,40826341,65520633,55520633,PG-13,Greg Berlanti,"Nick Robinson, Katherine Langford, Alexandra Shipp, Josh Duhamel, Logan Miller, Jorge Lendeborg Jr., Jennifer Garner, Keiynan Lonsdale, Miles Heizer, Colton Haynes, Talitha Bateman, Joshua Mikel, Mackenzie Lintz, Darcy Rose Byrnes, Alex Sgambati, Joey Pollari, Sean O'Donnell, Terayle Hill, Cassady McClincy"
213,Free Birds,91.0,"Adventure,Animation,Comedy","Nov 1, 2013",55000000,55750480,110387072,55387072,PG,Jimmy Hayward,"Owen Wilson, Woody Harrelson, Amy Poehler, George Takei, Colm Meaney, Keith David, Dan Fogler, Dwight Howard, Kaitlyn Maher, Carlos Alazraqui, Jeff Biancalana, Danny Carey, Carlos Ponce, Robert Beltran, Lesley Nicol, Jason Finazzo, Scott Mosier, Lauren Bowles, Jimmy Hayward"
214,Pain & Gain,129.0,"Action,Comedy,Crime","Apr 26, 2013",26000000,49875291,81275291,55275291,R,Michael Bay,"Mark Wahlberg, Anthony Mackie, Ed Harris, Rob Corddry, Bar Paly, Yolanthe Cabau van Kasbergen, Dwayne Johnson, Tony Shalhoub, Seven, Ken Jeong, Rebel Wilson, Michael Rispoli, Keili Lefkowitz, Emily Rutherfurd, Larry Hankin, Tony Plana, Peter Stormare, Vivi Pineda, Ken Clement, Brian Stepanek, Christopher Langstaff, Persi Caputo, Bill Kelly, Gregg Weiner, Parris Buckner, Nicholas Parsons, Donny Davis, Vivian Ruiz, Jeff Owings, Rushanna Lewis, Richard Haylor, Trudie Petersen, Patrick Bristow, Wladimir Klitschko, Mike Tremont, Holland Hayes, Sabrina Mayfield, Kiki Harris, Choice Gray, Chez Mena, Carol Kaye, Tyrone Borden Sr., Lawrence Scott, Jennifer Nicole Lee, Mike Benitez, Cedric Depasquale, Oliver Jay, Rubber Doll, Jessica Dykstra, Nikki Benz, Vannessa Nevader, Andrea Bennetti, Courtney O'Connor, Gwendalyn Barker, Irina Kazakova, William J. Erfurth, Rey Hernandez, Charlie Johnson Jr."
215,Diary of a Wimpy Kid: Dog Days,94.0,"Comedy,Family","Aug 3, 2012",22000000,49008662,77229695,55229695,PG,David Bowers,"Zachary Gordon, Robert Capron, Devon Bostick, Steve Zahn, Rachael Harris"
216,Going in Style,96.0,"Comedy,Crime","Apr 7, 2017",24000000,45018541,78672579,54672579,PG,Martin Brest,"George Burns, Art Carney, Lee Strasberg, Charles Hallahan, Pamela Payton-Wright, Siobhan Keegan, Brian Neville, Constantine Hartofolis, Mary Testa, Jean Shevlin, James Manis, Margot Stevenson, Tito Goya, William Pabst, Christopher Wynkoop, Joseph Sullivan, Bob Maroff, Vivian Edwards, Barbara Ann Miller, Karen Montgomery, Catherine Billich, Betty Bunch, Anthony Call, Mark Margolis, Eric William Larson, Tony DiBenedetto, Reathel Bean, Alan Brooks, Paul Smith"
217,Going in Style,96.0,"Comedy,Crime","Apr 7, 2017",24000000,45018541,78672579,54672579,PG-13,Zach Braff,"Morgan Freeman, Michael Caine, Alan Arkin, Ann-Margret, Joey King, Peter Serafinowicz, John Ortiz, Matt Dillon, Christopher Lloyd"
218,Shaft,,"Action,Comedy,Crime","Jun 16, 2000",53012938,70327868,107190108,54177170,R,Gordon Parks,"Richard Roundtree, Moses Gunn, Christopher St. John, Gwen Mitchell, Gwenn Mitchell, Charles Cioffi, Antonio Fargas, Lawrence Pressman, Victor Arnold, Sherri Brewer, Rex Robbins, Camille Yarbrough, Margaret Warncke, Joseph Leon, Arnold Johnson, Dominic Barto, George Strus, Edmund Hashim, Drew Bundini Brown, Tommy Lane, Al Kirk, Eddie Barth, Shimen Ruskin, Gertrude Jeannette, Lee Steele, Damu King, Donny Burks, Drew Bundi Brown, Tony King, Benjamin R. Rixson, Ricardo Brown, Alan Weeks, Glenn Johnson, Dennis Tate, Adam Wade, James Hainesworth, Clee Burtonya, Ed Bernard, Joe Pronto, Robin Nolan, Ron Tannas, Betty Bresler, Jon Richards, Paul Nevens, Gonzalo Madurga"
219,Shaft,,"Action,Comedy,Crime","Jun 16, 2000",53012938,70327868,107190108,54177170,R,John Singleton,"Samuel L. Jackson, Vanessa L. Williams, Jeffrey Wright, Christian Bale, Toni Collette, Busta Rhymes, Dan Hedaya, Richard Roundtree, Ruben Santiago-Hudson, Lynne Thigpen, Philip Bosco, Lee Tergesen, Pat Hingle, Josef Sommer, Daniel von Bargen, Lawrence Taylor, Gordon Parks, Isaac Hayes, John Singleton, Francisco 'Coqui' Taveras, Sonja Sohn, Peter McRobbie, Zach Grenier, Richard A. Cocchiaro Jr., Ron Castellano, Freddie Ricks, Sixto Ramos, Andre Royo, Richard Barboza, Mekhi Phifer, Gano Grills, Catherine Kellner, Philip Rudolph, Angela Pietropinto, Joe Quintero, Lanette Ware, Stu ""Large"" Riley, Mark Zeisler, Capital Jay, Bonz Malone, Henry G. Thomas, Brian Oswald Talbot, Preston Thomas, Marshall T. Broughton, Ann Ducati, Lisa Cooley, Elizabeth Banks, Scott Lucy, Chris Orr, Evan Farmer, Will Chase, Jeff Branson, Jerome Preston Bates, John Elsen, Nadine Mozon, Caprice Benedetti, John Cunningham, Louie Leonardo, Tony Rhune, Fidel Vicioso, F. Valentino Morales, Myron Primes, Universal, Travis Brandon Rosa, Matthew Walker Wallace, Luis Torres, John Wojda, Ahmed Al-Khan, Amer Al-Khan, Rashid Feleyfel"
220,Shaft,,"Action,Comedy,Crime","Jun 16, 2000",53012938,70327868,107190108,54177170,R,Tim Story,"Samuel L. Jackson, Jessie T. Usher, Regina Hall, Alexandra Shipp, Matt Lauria, Titus Welliver, Method Man, Richard Roundtree, Avan Jogia, Luna Lauren Vélez"
221,Moonrise Kingdom,94.0,"Adventure,Comedy,Drama","May 25, 2012",16000000,45512466,68848446,52848446,PG-13,Wes Anderson,"Jared Gilman, Kara Hayward, Bruce Willis, Edward Norton, Bill Murray, Frances McDormand, Tilda Swinton, Jason Schwartzman, Bob Balaban, Lucas Hedges, Charlie Kilgore, Andreas Sheikh, Chandler Frantz, Rob Campbell, LJ Foley, Gabriel Rush, Seamus Davey-Fitzpatrick, Tommy Nelson, Larry Pine, Marianna Bassham, Neal Huff, Eric Chase Anderson, Jake Ryan, Tanner Flood, Wyatt Ralff, Max Derderian, Hugo DeAscentis, Liz Callahan, James Demler, Christine Noel, Jean-Michael Pion, John Peet, Carolyn Pickman, Ada-Nicole Sanger, Isabella Guinness, Violet Guinness, Caris Yeoman, Lily Tiger McEnerney, Kevin DeCoste, Harvey Keitel, Tyler Metivier, Cooper Murray, Coledyn Garrow, Ben Haffner, Michael Malvesti, Rich Conant, Johnathon Deneault, Jack TeJean Hartman, Preston Hatch, Alex Milne, Jordan Puzzo, Steve Smith, Dakota Pimentel, Roman Keitel, Derek Sardella, Conrad Pope, Owen Wilson"
222,To Rome with Love,112.0,"Comedy,Music,Romance","Jun 22, 2012",21500000,16684352,74326015,52826015,R,Woody Allen,"Woody Allen, Alec Baldwin, Roberto Benigni, Penelope Cruz, Judy Davis, Jesse Eisenberg, Greta Gerwig, Ellen Page, Fabio Armiliata, Fabio Armiliato, Alessandra Mastronardi, Ornella Muti, Flavio Parenti, Alison Pill, Alessandro Tiberi, Antonio Albanese, Roberto Della Casa, Riccardo Scamarcio"
223,How to Be a Latin Lover,115.0,"Comedy,Drama","Apr 28, 2017",10000000,32149404,62556228,52556228,PG-13,Ken Marino,"Eugenio Derbez, Salma Hayek, Rob Lowe, Kristen Bell, Raquel Welch, Rob Corddry, Rob Riggle, Michael Cera, Raphael Alejandro"
